sentence,true_label,predicted
Tom estaba preocupado de que su nivel de colesterol estuviera un poco alto.,spa,spa
Su problema es que no estudia lo suficiente.,spa,spa
I don't think that Tom has much free time.,eng,spa
Tom says he knows what Mary is doing.,eng,spa
Vi un perro. El perro llevaba un trozo de carne en la boca.,spa,spa
No queremos ningún problema.,spa,spa
How do you stand this heat?,eng,eng
¡Vengan a ver eso!,spa,spa
Didn't you do that yesterday?,eng,spa
Tom and Mary haven't said anything they weren't supposed to say.,eng,spa
It's very hot here.,eng,spa
Dan didn't even start writing.,eng,spa
¿Por qué sigue Tom aquí?,spa,eng
Baldea la calle.,spa,spa
Layla was an artistic and brilliant girl.,eng,spa
I thought Mary would have all the time she needed.,eng,spa
I doubt that Tom would do that.,eng,spa
One step forward is a step forward for civilization.,eng,spa
Tengo insomnio.,spa,spa
No tiene la más mínima vergüenza.,spa,spa
You made me proud.,eng,spa
"Dejo de vivir, pero he vivido.",spa,spa
El amor no perdona.,spa,spa
Mary sold her company.,eng,spa
Tom and I are rivals.,eng,spa
Tom was the manager before me.,eng,spa
"Las brujas no lloran, susurró en voz baja.",spa,spa
No one knew Tom and Mary were there.,eng,spa
Sami was at the scene of the murder.,eng,spa
Conditions could change.,eng,spa
Es tu turno.,spa,spa
The Netherlands and the Isles of Scilly technically warred for 335 years.,eng,spa
Tom should probably tell Mary he's hungry.,eng,spa
They dented their car.,eng,spa
Esto es el colmo del colmo.,spa,spa
Estos son lindos caballos.,spa,spa
"Las langostas no tienen pinzas, los bogavantes si tienen pinzas.",spa,spa
Terminamos. Devuélveme el anillo.,spa,spa
His father has never been abroad.,eng,spa
The cat hissed at them.,eng,spa
No cuida de sus hijos.,spa,spa
¿Qué no he escrito?,spa,eng
Tenía mucho que estudiar para el examen.,spa,spa
Go and find him.,eng,spa
Mi hermano estudió en Inglaterra.,spa,spa
My mother gets up earlier than I do.,eng,spa
¿Cuál es su grupo sanguíneo?,spa,eng
Me hace ilusión que mis profesores tengan ganas de trabajar.,spa,spa
They told me that they'd done that.,eng,spa
Ken estuvo en Japón el año pasado.,spa,spa
No es así como me siento.,spa,spa
Setenta u ochenta años es la duración normal de la vida del hombre.,spa,spa
Hablar es una cosa y escribir es otra.,spa,spa
Mary juega bien al basquetbol.,spa,spa
But Love wanted to make a match of his own devising.,eng,spa
The song reminds me of my young days.,eng,spa
Necesito un montón de libros.,spa,spa
I don't dare tell him such a thing.,eng,spa
I thought that you said that you worked with Tom.,eng,spa
You won't believe what I heard.,eng,spa
Hace seis años que empecé a estudiar inglés.,spa,spa
I became intrigued.,eng,spa
All Tom does is read.,eng,spa
I think that Tom has high blood pressure.,eng,spa
I saw Tom go into the store across the street.,eng,spa
I'm not a magician.,eng,spa
He wouldn't be caught dead playing pachinko.,eng,spa
Layla rebelled against authority.,eng,spa
We need long-term solutions.,eng,spa
Tom loves being in Australia.,eng,spa
She's sound asleep in her room.,eng,spa
Tom said he'd be going back to Boston right after the game.,eng,spa
¿Se puede comprar algo para comer allí?,spa,eng
Ya nadie que conozca le habla a Tom.,spa,spa
Sami was so ridiculous.,eng,spa
Mi camisa es naranja.,spa,spa
¿Cuántos hijos tiene Tom?,spa,eng
¿Me invitas a un café?,spa,eng
No puedo agradecerle lo suficiente sus numerosas muestras de amabilidad.,spa,spa
Ella habla como yo.,spa,spa
My car needs repairing.,eng,spa
Tom was a public servant.,eng,spa
"Although the United States is a developed country, it still has some very poor people.",eng,spa
Tom is very upset by this.,eng,spa
¿Por qué estás tan asustada? ¿Qué has visto?,spa,eng
Hay demasiados anuncios publicitarios en YouTube.,spa,spa
Era muy rápido.,spa,spa
Mary vino al hospital.,spa,spa
They said they could fix it.,eng,spa
Habla con Tom y comprueba lo que piensa sobre esto.,spa,spa
Lo voy a llamar.,spa,spa
¿No huele a algo extraño?,spa,eng
He pecado.,spa,spa
Acabaremos luego.,spa,spa
I tossed one to Tom.,eng,spa
Él se acercó al chico que estaba leyendo un libro.,spa,spa
Sami visited Layla at her dance studio.,eng,spa
I was hoping Tom would do that for us.,eng,spa
He soon got over the danger.,eng,spa
When had he heard Marilla laugh like that before?,eng,eng
Mi amigo me preguntó si me sentía bien.,spa,spa
I would love to go.,eng,spa
"Si no estás ahí a las 10:00, nos iremos sin ti.",spa,spa
Envíamelo ahora.,spa,spa
All stolen cars end up here.,eng,spa
¿Por qué los lobos aúllan?,spa,eng
Your room is big.,eng,spa
Tom noticed that not all the kids were paying attention.,eng,spa
Where did you read that?,eng,eng
Tuvimos que pedir ayuda a gritos.,spa,spa
"En los días lindos de verano, los niños jugaban hasta tarde en la noche al aire libre.",spa,spa
«¿Por qué quieres morir?» «¿Por qué quieres vivir?»,spa,spa
Este queso está hecho de leche de oveja.,spa,spa
There are many pine trees in Rome.,eng,spa
La cogió del pelo.,spa,spa
It's OK if the teacher makes fun of you.,eng,spa
A lot of things have changed.,eng,spa
Ellos ganaron.,spa,spa
Do we have to do all this?,eng,eng
Tom thought he had come up with the perfect plan.,eng,spa
Tom usually stands behind the counter.,eng,spa
They say they're too busy to do that.,eng,spa
Tom and Mary told me that they want to win.,eng,spa
"When Tom and Mary first told me that, I didn't believe them.",eng,spa
Yo no lo pensaría.,spa,spa
Él me dijo que iba de compras a Shibuya.,spa,spa
Yo llené el balde con agua.,spa,spa
Quiero ser quien menos regale.,spa,spa
I wasn't talking about you.,eng,spa
Ya casi he terminado el informe.,spa,spa
Sami stopped by to bring something special for Layla.,eng,spa
Es una picadura de araña.,spa,spa
The doctors were wrong to condemn the couple.,eng,spa
Sami made Layla an offer too good to refuse.,eng,spa
Tom's lonely.,eng,spa
That's not a bear anymore. That's bear goo.,eng,spa
¿Puede abrir esta puerta?,spa,eng
What would you do if your house was haunted?,eng,spa
Tus gafas están encima de la mesita.,spa,spa
Tom and Mary are trying their best.,eng,spa
"I'm busy. If that weren't the case, I'd accept your invitation.",eng,spa
¿Te ha dado Tom alguna razón?,spa,eng
Nadie creyó a Kevin porque él siempre se inventa las historias.,spa,spa
Don't confuse love and desire.,eng,spa
"Most utensils, such as can openers and scissors, are made for right-handers.",eng,spa
Sami felt a little agitated.,eng,spa
Sami taught biology.,eng,spa
"Thanks to the opportunity, we were able to avoid substantial effort.",eng,spa
I think we've made our point.,eng,spa
Debemos cumplir con las disposiciones legales.,spa,spa
I did that just a while ago.,eng,spa
How many hours of sleep did you really get last night?,eng,eng
I already saw this.,eng,spa
Tom refused to admit he'd done that.,eng,spa
Tom and Mary cleaned their rooms.,eng,spa
Las ventanas correderas ocupan menos sitio.,spa,spa
Me disfracé de policía.,spa,spa
"Deberías ir y hacerlo, tal como dijiste que harías.",spa,spa
¿Tiene usted algo para el resfriado?,spa,eng
He admitted that he left early.,eng,spa
It's serious.,eng,spa
Tom always pays his credit card bill in full at the end of the month.,eng,spa
Cálmate. No te escucho.,spa,spa
"Mi amiga me dijo que sus padres esquían en Eslovaquia o Eslovenia, donde, según dicen, hay montañas grandes.",spa,spa
"You're not very well informed, are you?",eng,eng
Jaume's grandmother spoke Catalan better than Spanish.,eng,spa
Tom and Mary don't know what they're supposed to be doing.,eng,spa
Debes hacer lo que te parece correcto a ti.,spa,spa
Devolvió el dinero.,spa,spa
Tom doesn't need to go to the doctor.,eng,spa
I wish you'd quit doing what you're doing.,eng,spa
Están intentado sacar los productos japoneses del mercado.,spa,spa
Can you play well?,eng,eng
El calendario gregoriano tiene como referencia el nacimiento de Cristo.,spa,spa
Tras muchos años la reconocí y comencé a amarla como a una hermana.,spa,spa
I took advantage of every opportunity to improve my English.,eng,spa
Is your new computer working well?,eng,eng
Tomás tenía miedo de pedir ayuda.,spa,spa
Are you sure you won't come with me?,eng,eng
Tom has everything a boy could possibly want.,eng,spa
She said that she was very tired.,eng,spa
Probablemente haya discusiones sobre el tema.,spa,spa
"Su padre no vendrá, él está muy ocupado.",spa,spa
They said they wanted to try to win.,eng,spa
Recibí una patada en la espalda.,spa,spa
I asked her out.,eng,spa
Do you think Tom is dangerous?,eng,eng
"La próxima vez que te hagas el arrogante en mi casa, te saco afuera a las patadas sin miramientos.",spa,spa
Ese accidente pasó al lado de su casa.,spa,spa
Tom intentó ocultar su nerviosismo.,spa,spa
Tom confía en ella.,spa,spa
Al crecer muchas cosas dejan de fascinarnos.,spa,spa
Let's sit tight.,eng,spa
Está cerca.,spa,spa
Tomás consume poco alcohol.,spa,spa
Time to begin.,eng,spa
Is there something in the refrigerator that we can drink?,eng,eng
Tienes que esperar un momento.,spa,spa
Tom likes electronic dance music.,eng,spa
Tom is lying face down on the bed.,eng,spa
Drink this juice.,eng,spa
"¿Cómo estás, Tom?",spa,eng
¿Me puede indicar el camino a la parada de buses?,spa,eng
"Cuanto más comes, más quieres comer.",spa,spa
You're wearing my sunglasses.,eng,spa
Tom tiene problemas llevándose con los otros estudiantes en su clase.,spa,spa
Where's the pharmacy?,eng,spa
I want to grow old gracefully.,eng,spa
Yo no confío en ti tampoco.,spa,spa
Why are we even talking about this?,eng,eng
Siempre supe que ella ocultaba algo.,spa,spa
Tom must have been thrilled.,eng,spa
We went for our walk and held hands.,eng,spa
Every one of his songs was a hit.,eng,spa
Tom was the only reporter on the scene of the crime.,eng,spa
There's little cause for optimism.,eng,spa
I don't like to be judged.,eng,spa
¿Qué deportes les gustan?,spa,eng
I work as Mr. Eliot's assistant.,eng,spa
Mary told me that she likes swimming.,eng,spa
Something has to be done with this stuff.,eng,spa
"No necesita compasión, pero sí el apoyo.",spa,spa
"He tried it again, but in vain.",eng,spa
It's raining hard outside.,eng,spa
¿Quiere usted esta camiseta?,spa,eng
No te daré nada de mis manzanas.,spa,spa
Stop bragging.,eng,spa
Supongo que nadie cree en esta historia.,spa,spa
What is his surname?,eng,eng
I made myself as comfortable as I could.,eng,spa
Dame todos los detalles.,spa,spa
Se puso pálida al oír la noticia.,spa,spa
They'll take care of him.,eng,spa
A partir de hoy no fumaré más.,spa,spa
"Even after delivery, you can't drink alcohol when you are breastfeeding.",eng,spa
¿Cómo me has encontrado?,spa,eng
Everyone was supportive.,eng,spa
Sami had a brand new pair of shoes.,eng,spa
Me alegro de que estés aquí.,spa,spa
Abróchate la chaqueta.,spa,spa
Detesto la química.,spa,spa
No tengo ningún problema con mi mujer.,spa,spa
What do you say we ditch this joint?,eng,eng
You need to keep Tom from doing that again.,eng,spa
"Además, era un momento mágico de simbiosis total.",spa,spa
I know that Tom isn't a wise man.,eng,spa
¿Te sabes su número?,spa,eng
She forgave you.,eng,spa
I borrowed money from her.,eng,spa
My parents gave me a house when we got married.,eng,spa
Él llevaba un sombrero puesto.,spa,spa
Mi sobrino es alérgico al huevo.,spa,spa
It's not a smoking device.,eng,spa
Tom tried to reassure her.,eng,spa
Ella tenía miedo de cruzar la calle.,spa,spa
Tom isn't responding.,eng,spa
I fell in love with a woman.,eng,spa
I totally agree with his definition of friendship.,eng,spa
Tom no cree haber hecho nada malo.,spa,spa
She thinks that she's so clever.,eng,spa
La tía enferma soltó un suspiro.,spa,spa
Tom helps Mary whenever she asks him to.,eng,spa
Las abejas vuelan de flor en flor.,spa,spa
Esta frase incluye varios errores.,spa,spa
A Tomás casi lo lleva por delante un auto.,spa,spa
"Fadil decided that he wanted to raise his family in a different environment than Cairo, so they moved to Alexandria.",eng,spa
¿Existe cura para la estupidez?,spa,eng
It's not a fish.,eng,spa
"Uno puede delegar trabajo, pero no responsabilidad.",spa,spa
Excuse me for being dressed like this.,eng,spa
"Last month, my family and I moved to Boston.",eng,spa
No lo haría ni por todo el dinero en el mundo.,spa,spa
Tom wasn't ready to jump.,eng,spa
Había cuarenta personas presentes.,spa,spa
He estado en Kioto dos veces.,spa,spa
Se te pasará.,spa,spa
Siempre soy el último en saber.,spa,spa
A cult member attempted to assassinate the queen with poisoned fruit.,eng,spa
La justicia es la ley de los débiles.,spa,spa
"Apresúrate; no te fíes de las horas venideras. El que hoy no está dispuesto, menos lo estará mañana.",spa,spa
Ningún país ha sufrido tantos terremotos como Japón.,spa,spa
¿Conoces a esta señora?,spa,eng
El libro de Jack es interesante.,spa,spa
Sami doesn't know many people who do YouTube.,eng,spa
I've been waiting for you.,eng,spa
He doesn't really care about me.,eng,spa
Mine owners refused to negotiate.,eng,spa
Él le preguntó a Nancy si estaba libre al día siguiente.,spa,spa
Hay un hombre en la habitación.,spa,spa
Se propusieron cuatro ideas.,spa,spa
La mayoría de los estudiantes aquí son aplicados.,spa,spa
I didn't think Tom did that well.,eng,spa
Tom said that his parents are divorced.,eng,spa
I think you've all met.,eng,spa
Nochebuena es víspera de Navidad.,spa,spa
Quiero hablar con vos.,spa,spa
Tom and Mary said they plan on doing that.,eng,spa
Este diccionario me fue muy útil.,spa,spa
Monroe received 65 votes.,eng,spa
Lo que ella me dijo ayer fue una mentira inocente.,spa,spa
Tom has been accused of being a spy.,eng,spa
El cuento habla de la aparición de un ahogado en las orillas cerca de un pequeño pueblo de mar en el Caribe.,spa,spa
Esta leche tiene un olor extraño.,spa,spa
Mi tío tiene una granja en la villa.,spa,spa
Él está en custodia de su tío.,spa,spa
Mary thinks that Tom is the man for her.,eng,spa
"Visto el odio que pueden desencadenar ciertos comentarios, muchos prefieren dejar los errores antes que ser odiados.",spa,spa
"Lo importante no es lo que haces, sino la manera en que lo haces.",spa,spa
Tom and Mary realized that they needed to do that.,eng,spa
Tu software está actualizado.,spa,spa
¿Quién es tu amiga?,spa,eng
¿Piensas que estoy de broma?,spa,eng
Mary said she wouldn't let it happen again.,eng,spa
¿Tiene periódicos japoneses?,spa,eng
Dice el médico que coma mejor.,spa,spa
Are you related to me?,eng,eng
Levanten la mano los que entendieron.,spa,spa
No es bueno estar sentado todo el día.,spa,spa
We'll make bank.,eng,spa
Soy torpe.,spa,spa
She knows that she has a problem.,eng,spa
"Tom wasn't able to do that, but Mary was.",eng,spa
Me dicen que aún sigue vivo.,spa,spa
I was there at the same time Tom was.,eng,spa
Te extrañé.,spa,eng
Mary told me she was from Boston.,eng,spa
Las personas que conducen coches deben ponerse el cinturón de seguridad.,spa,spa
Vamos a intentar tratar a los demás con respeto.,spa,spa
His playing is mediocre.,eng,spa
My cat needs surgery.,eng,spa
Tomás dice que no es verdad.,spa,spa
I need an excuse.,eng,spa
Lo siento. Creo que marqué el número equivocado.,spa,spa
No le costó resolver el problema.,spa,spa
Mi nombre es Ludwig.,spa,spa
Please put the milk back in the refrigerator.,eng,spa
Ustedes le dieron el dinero a Mary.,spa,spa
Miles de personas fueron a la playa a ver al delfín.,spa,spa
No hablé con ellos.,spa,spa
Hagamos eso.,spa,spa
Podría estar liado el lunes.,spa,spa
Todo el mundo está leyendo.,spa,spa
Tom is going to retire next year.,eng,spa
He was framed on a murder charge.,eng,spa
She had a white book under her arm.,eng,spa
"As soon as he opened the door, he smelled something burning.",eng,spa
I hope you can schedule time to do that.,eng,spa
"El anciano probó el bálsamo con su lengua, y lo encontró bueno.",spa,spa
I wonder if Tom and Mary are satisfied.,eng,spa
Tom miente peor que Mary.,spa,spa
Los niños son muy curiosos y hacen muchas preguntas.,spa,spa
Esta tarde lloverá otra vez.,spa,spa
Los sábados por la noche es difícil encontrar aparcamiento por aquí.,spa,spa
There's no need to add wood to the campfire.,eng,spa
Yo no tenía el coraje de decirle la verdad.,spa,spa
Tom said he hopes that you like doing that.,eng,spa
Tom is supposed to be here in thirty minutes.,eng,spa
"¿No nos hemos encontrado antes?, preguntó el estudiante.",spa,spa
You never seem to pay attention.,eng,spa
La blanca nieve cubrió los rojos techos.,spa,spa
I wonder whether Tom would mind babysitting our kids tomorrow night.,eng,spa
I'm sure Tom and Mary wouldn't be forgiven if they did that.,eng,spa
Puede que sea francesa.,spa,spa
Tom está sin trabajo durante las vacaciones debido a un recorte en la planta de acero.,spa,spa
I noticed that.,eng,spa
No puedo ir porque estoy ocupado.,spa,spa
Veo lo que hiciste ahí.,spa,spa
Where have Tom and Mary gone?,eng,eng
"Sentí tu presencia en mi espalda, estabas siempre cerca, tranquilo como una tarde de verano.",spa,spa
Él solía amarla.,spa,spa
I'm not defending Tom.,eng,spa
Necesitaron una excavadora para retirar los cascotes.,spa,spa
Estoy feliz de que todo ello terminara.,spa,spa
"Si ya terminaste ese libro, ¿podrías prestármelo?",spa,eng
Sami and Layla spent their honeymoon in Egypt.,eng,spa
Sami practised medicine.,eng,spa
Eres quisquilloso.,spa,spa
Tom forgot to tell Mary what time the concert started.,eng,spa
Let's change the rules.,eng,spa
Tom wouldn't let Mary drive his car.,eng,spa
Ella tiene un cierto talento literario.,spa,spa
We're relatives by marriage.,eng,spa
No te enfades.,spa,spa
Me encantan las mariposas.,spa,spa
Le confeccionaré un traje nuevo.,spa,spa
Don't play with matches.,eng,spa
That's commonplace.,eng,spa
I'm feeling a bit stiff.,eng,spa
Does school start at eight-thirty?,eng,spa
How is Tom different?,eng,eng
¡No se olvide!,spa,spa
Sami processed the payment.,eng,spa
El hermano de mi padre y el hermano de mi madre son mis tíos.,spa,spa
Tom tiene que tomar un remedio cada tres horas.,spa,spa
Sami was a sibling of Layla's.,eng,spa
Voy de camino al trabajo.,spa,spa
Tom doesn't plan to go anywhere tomorrow.,eng,spa
Sami can't stand Layla's daughter.,eng,spa
Quiero quedarme en casa.,spa,spa
La carne sabe mal.,spa,spa
I knew it would be like this.,eng,spa
It's a very strange process.,eng,spa
"La locura es rara por individuo, pero es norma en los grupos, equipos, pueblos y las eras.",spa,spa
La experiencia es importante.,spa,spa
Voy al trabajo.,spa,spa
El chef se acercó a nuestra mesa.,spa,spa
He hecho una lista de los alimentos que no puedo comer.,spa,spa
Él escribió una letra.,spa,spa
I let Mary talk me into helping her.,eng,spa
Pasaré algunos días en tu casa.,spa,spa
Mary can dance well.,eng,spa
The crew had to abandon the sinking ship.,eng,spa
Tom tiene que quedarse donde está.,spa,spa
Tom thought Mary wouldn't likely do that.,eng,spa
"Lamentablemente, voy un poco atrasado.",spa,spa
Mary didn't seem surprised when Tom told her he wanted to do that.,eng,spa
She read the children an amusing story.,eng,spa
Él está celoso de su talento.,spa,spa
Tom no sabe por qué te llamé.,spa,eng
Las medias tobilleras son las que te llegan solamente hasta los tobillos.,spa,spa
El escándalo casi le arruinó la carrera.,spa,spa
Layla has a guy that she's talking to at school.,eng,spa
I would never eat anything that Tom makes.,eng,spa
I clean up my room every Sunday.,eng,spa
"Today, the Ministry of Health announced that it has stopped distribution of and is recalling a medicine for children due to the problem of heart related side effects. The government has taken this into account and has forbidden the importation of this medicine.",eng,spa
Los perros policía son una buena manera de combatir el tráfico de drogas en los aeropuertos.,spa,spa
Aren't you going to work today?,eng,spa
"Lo que me cabrea no es lo que dice, sino cómo lo dice.",spa,spa
Layla overheard Sami talking on the phone with his mistress.,eng,spa
She'll rip my head off.,eng,spa
Tom would've done that by himself if Mary hadn't been there.,eng,spa
How can I avoid state taxes if I retire overseas?,eng,eng
I thought you wouldn't mind waiting for me.,eng,spa
Tom vio una película japonesa con subtítulos en francés.,spa,spa
Mary says she's had three glasses of wine.,eng,spa
Él no es mi hijo sino mi sobrino.,spa,spa
Creo que por eso Tom está aquí.,spa,spa
No surgirá ese problema.,spa,spa
"Mary is a good bassist, isn't she?",eng,eng
I have confidence in them.,eng,spa
You're obese.,eng,spa
¿Vienes a buscarme?,spa,eng
"When I return in the evening, I'm always very tired.",eng,spa
Tom has been urging me to join the army.,eng,spa
Tuve que pagar 5 dólares de más.,spa,spa
Tom appears to be happy.,eng,spa
Con planificación cuidadosa desperdiciarás menos tiempo en cosas inútiles y terminarás el trabajo más rápido.,spa,spa
Interlingua es fácil de aprender.,spa,spa
"¿Este computador es tuyo, no es así?",spa,eng
Nadie debería ver la televisión.,spa,spa
Fui a un concierto.,spa,spa
"It seemed so real, but I guess it was just a crazy dream.",eng,spa
"Cuando dos personas se encuentran, hay en realidad seis personas presentes: cada persona en la percepción de si misma, cada persona en la percepción del otro y cada persona en su ser verdadero.",spa,spa
Juntémonos y conversémoslo.,spa,spa
The Ministry of Education increased the proportion of indigenous language usage in the schools.,eng,spa
Papá vuelve a casa mañana.,spa,spa
Miro la tele todas las noches.,spa,spa
¿Quién hizo este plan?,spa,eng
No hay cura para las pesadillas.,spa,spa
Do Tom and Mary often come here?,eng,eng
Please answer either by nodding or shaking your head.,eng,spa
I want to live a happy life.,eng,spa
Sometimes Tom swims laps before breakfast.,eng,spa
Tuve que trabajar tarde.,spa,spa
Estoy comiendo queso.,spa,spa
"On my mother's side of the family, I have three male cousins.",eng,spa
Te daré el artículo que escribí sobre ese tema.,spa,spa
